intra,HB,cg,1050,1219,1314,1409,1550,1609
10.2,85.4,272.2,4.172037723397377,4.087561251025257,3.6757631183212034,8.932077402497711,5.190415965144933,4.5326561016401925
5.2,5.4,331.1,3.8774696370215533,3.8834583895837156,3.690000698556883,9.072979227840229,5.527819325560966,4.48722636378778
18.2,90.0,409.7,4.154511756002606,4.070752395068233,4.015299500076713,9.875296701655095,5.675036553612827,4.539292323548853
10.3,117.0,221.7,4.043892346160678,3.8763338447004045,3.9879317351666987,7.3851654900236525,5.8925275611329795,4.556024570897463
8.9,49.2,533.5,2.178122537690337,2.883265286279288,2.976199291614268,7.806757659418778,5.70730376303289,4.888147808900339
10.5,143.8,283.7,3.922687775483121,4.064004441864553,3.687572811345202,7.864120269122907,5.717792313842505,4.884535632294821
11.0,31.0,110.9,4.481155968169563,4.509405793862609,3.8543185941955613,8.20755421739215,5.841620961583125,4.340932310228478
9.0,117.1,122.7,4.750559227984972,4.301003012458079,3.88160575182426,8.654091778730674,5.526557549392795,4.210443090932486
16.1,117.8,719.0,4.629563563545304,4.3873044104181,3.8725077354715634,8.89468848986023,5.31853530879037,4.346625605943487
6.3,25.3,262.6,3.6505871549451907,3.8375694851014117,3.9013814737979153,8.022752028940086,6.033035413144258,4.632697458544364
3.8,86.5,791.5,2.6006896582097685,3.0284996186039965,3.053669446666122,7.65063846311017,6.1640694170452655,5.192943270794466
10.0,99.9,811.2,4.661346620956344,4.252897028566586,3.877970000678175,8.7146991199366,4.9928330256377045,4.15972296356669
13.9,49.5,714.2,2.152368939086024,2.7841222854074417,2.8583945516281304,7.392427632057206,6.0941056068061705,4.909881903910705
17.9,167.7,963.2,2.4675631365706803,2.8417414879120972,2.866809469731585,8.035212403249492,5.984985298847711,4.9435536685968735
17.1,108.0,237.7,4.772264918513638,4.175711041232798,4.014479570955434,9.675375971974685,5.6582409788326515,4.22127632757045
16.6,32.5,694.5,2.900953435128203,3.411404723259839,3.3110260558993616,8.325583559900917,5.646325192591426,4.922440150208345
12.4,140.7,457.3,3.991296500135185,4.120827690507717,3.7569183880421555,9.044622730442853,6.093005045263368,4.608934593145623
4.8,23.8,84.2,2.4435298033145294,3.101393432488651,3.151582184459901,7.863000691838785,5.690720400181117,4.80375324765139
10.5,113.5,523.7,3.577252127369654,3.77476021786204,3.528492896895168,7.557476179348551,6.058756182236369,4.9552220705033
13.9,50.0,316.3,2.213817444892788,2.8548072579220403,2.940426758685442,7.526942579951381,5.869326978567443,5.09099918621488
11.1,66.4,411.8,4.454068053400604,4.423511968446412,3.705446663348761,8.574051777736827,5.606275100089796,4.445444584077695
9.2,144.9,866.8,4.299086044225586,4.167932295621696,3.874471214433761,6.493282844672557,5.420508295323671,4.389660448998075
6.4,132.0,113.6,3.926538836106559,4.05787716452474,3.8587717328876145,7.222249364605688,6.003307525245539,5.060593955351749
9.6,69.9,765.0,3.122079603490958,3.422590448495585,3.2685208197140376,7.400419167516912,6.462127647399345,4.856922909016003
5.2,102.5,202.6,4.321522357653009,4.060112972984676,4.007900415723189,8.689807411040036,5.200756194051195,4.593720968400394
4.8,41.0,856.4,2.3502060054816294,2.9692471974886043,3.0125587208245257,7.724863530728594,5.918311097042928,5.027421754839857
11.5,195.2,143.7,4.0740346278538695,4.028322167068476,3.7662285129634014,11.40518477967699,6.316557154942455,4.746674825423213
13.0,60.3,723.0,4.485481261154824,4.248171186779082,3.895862607998218,8.586395982322124,4.857080757160851,4.258041324481944
12.6,143.4,284.7,3.614652393661922,3.5961843381048,3.4992808650794984,8.442359107468882,6.380617589510088,4.926892114844335
10.1,5.3,866.7,3.9328802322251892,3.942124432454918,3.8562442092823304,8.461567740595108,5.092599405018628,4.269454365295694
13.2,154.6,941.1,4.484587056710414,4.22842350598042,3.82244079152718,6.559759872423541,5.605374254224472,4.398282840827399
4.3,126.7,179.1,3.7734512998698406,4.013992808629286,3.9035413981073965,9.337431223503778,6.454201941615466,4.510650597822245
9.8,177.4,954.0,2.8720369751031036,3.0557941407508693,3.0214147754148044,7.78890655955097,5.8877950936061225,4.943400422137412
4.4,178.2,77.5,4.285912534839756,4.228499902667,3.947737413200249,7.057906446268433,6.106344642635047,4.723173191395372
3.5,33.7,514.0,3.199738117614851,3.7445647075376556,3.467275600492993,7.391115835949321,6.332204919356016,4.848550197399856
7.6,13.9,457.2,2.8302775919790424,3.3703910586532846,3.392195555408282,7.126194079502383,6.079820988301961,4.793145565111949
4.9,52.0,83.6,2.2814442107416344,2.909605409849325,3.0226471047625925,7.9240314160068195,6.35753594012639,5.125271503792458
16.1,84.5,181.1,4.5693130360653775,4.250776906096512,3.8280151526951514,7.553878601278061,5.520083329144693,4.430529214265089
3.1,6.1,751.0,4.047370574525754,4.0577167823498,3.747150317891819,8.240864575945675,5.0909592164720365,4.247080855954405
14.7,28.1,485.5,2.633489399845077,3.2649841318637733,3.2094591242343373,8.322035706652507,6.057277787534517,4.971368694052188
13.4,98.4,424.7,3.8270522119861603,3.97205466698656,3.7276877461231095,8.453382605917735,6.009207073072105,4.729930164257144
18.5,165.7,606.0,3.9399447682788935,3.841229888086172,3.5573332039306695,7.924735020007944,6.012985524159703,4.8943822821783876
